2025-09-24 21:49:33 | INFO | Starting Producer to run continuously.
2025-09-24 21:49:33 | INFO | Use Ctrl+C to stop.
2025-09-24 21:49:33 | INFO | MESSAGE_INTERVAL_SECONDS: 5
2025-09-24 21:49:33 | INFO | BUZZ_TOPIC: buzzline
2025-09-24 21:49:33 | INFO | KAFKA_BROKER_ADDRESS: 127.0.0.1:9092
2025-09-24 21:49:33 | INFO | BASE_DATA_DIR: PROJECT_ROOT/data
2025-09-24 21:49:33 | INFO | LIVE_DATA_PATH: PROJECT_ROOT/data/project_live.json
2025-09-24 21:49:33 | INFO | BASE_DATA_DIR: PROJECT_ROOT/data
2025-09-24 21:49:33 | INFO | SQLITE_PATH: PROJECT_ROOT/data/buzz.sqlite
2025-09-24 21:49:33 | INFO | Deleted existing live data file.
2025-09-24 21:49:33 | INFO | Kafka broker address: localhost:9092
2025-09-24 21:49:33 | INFO | Kafka is ready. Brokers: {'throttle_time_ms': 0, 'brokers': [{'node_id': 1, 'host': 'localhost', 'port': 9092, 'rack': None}], 'cluster_id': 'JjY4WKawQ-GFC8VniCM2Xw', 'controller_id': 1}
2025-09-24 21:49:35 | WARNING | WARNING: Kafka setup failed: NoBrokersAvailable
2025-09-24 21:49:35 | INFO | {'message': 'I just tried JavaScript! It was funny.', 'author': 'Charlie', 'timestamp': '2025-09-24 21:49:35', 'category': 'tech', 'sentiment': 0.76, 'keyword_mentioned': 'JavaScript', 'message_length': 38, 'department_ID': 'D5_Operations', 'job_classification': 'lead'}
2025-09-24 21:49:35 | ERROR | [sqlite_emitter] failed to insert into PROJECT_ROOT/data/buzz.sqlite: table streamed_messages has no column named department_ID
2025-09-24 21:49:40 | INFO | {'message': 'I just tried game! It was exciting.', 'author': 'Charlie', 'timestamp': '2025-09-24 21:49:40', 'category': 'gaming', 'sentiment': 0.11, 'keyword_mentioned': 'game', 'message_length': 35, 'department_ID': 'D4_HR', 'job_classification': 'Level 2'}
2025-09-24 21:49:40 | ERROR | [sqlite_emitter] failed to insert into PROJECT_ROOT/data/buzz.sqlite: table streamed_messages has no column named department_ID
2025-09-24 21:49:45 | INFO | {'message': 'I just shared JavaScript! It was weird.', 'author': 'Eve', 'timestamp': '2025-09-24 21:49:45', 'category': 'tech', 'sentiment': 0.07, 'keyword_mentioned': 'JavaScript', 'message_length': 39, 'department_ID': 'D1_Finance', 'job_classification': 'lead'}
2025-09-24 21:49:45 | ERROR | [sqlite_emitter] failed to insert into PROJECT_ROOT/data/buzz.sqlite: table streamed_messages has no column named department_ID
2025-09-24 21:49:50 | INFO | {'message': 'I just loved Python! It was amazing.', 'author': 'Charlie', 'timestamp': '2025-09-24 21:49:50', 'category': 'tech', 'sentiment': 0.26, 'keyword_mentioned': 'Python', 'message_length': 36, 'department_ID': 'D6_Logistics', 'job_classification': 'Level 1'}
2025-09-24 21:49:50 | ERROR | [sqlite_emitter] failed to insert into PROJECT_ROOT/data/buzz.sqlite: table streamed_messages has no column named department_ID
2025-09-24 21:49:55 | INFO | {'message': 'I just found game! It was funny.', 'author': 'Alice', 'timestamp': '2025-09-24 21:49:55', 'category': 'gaming', 'sentiment': 0.72, 'keyword_mentioned': 'game', 'message_length': 32, 'department_ID': 'D5_Operations', 'job_classification': 'Level 1'}
2025-09-24 21:49:55 | ERROR | [sqlite_emitter] failed to insert into PROJECT_ROOT/data/buzz.sqlite: table streamed_messages has no column named department_ID
2025-09-24 21:50:00 | INFO | {'message': 'I just tried a story! It was funny.', 'author': 'Alice', 'timestamp': '2025-09-24 21:50:00', 'category': 'other', 'sentiment': 0.52, 'keyword_mentioned': 'other', 'message_length': 35, 'department_ID': 'D5_Operations', 'job_classification': 'senior'}
2025-09-24 21:50:00 | ERROR | [sqlite_emitter] failed to insert into PROJECT_ROOT/data/buzz.sqlite: table streamed_messages has no column named department_ID
2025-09-24 21:50:05 | INFO | {'message': 'I just saw a movie! It was amazing.', 'author': 'Charlie', 'timestamp': '2025-09-24 21:50:05', 'category': 'entertainment', 'sentiment': 0.57, 'keyword_mentioned': 'movie', 'message_length': 35, 'department_ID': 'D2_Mfg', 'job_classification': 'lead'}
2025-09-24 21:50:05 | ERROR | [sqlite_emitter] failed to insert into PROJECT_ROOT/data/buzz.sqlite: table streamed_messages has no column named department_ID
2025-09-24 21:50:10 | INFO | {'message': 'I just tried Python! It was boring.', 'author': 'Alice', 'timestamp': '2025-09-24 21:50:10', 'category': 'tech', 'sentiment': 0.95, 'keyword_mentioned': 'Python', 'message_length': 35, 'department_ID': 'D6_Logistics', 'job_classification': 'lead'}
